Campaign,Campaign Label,Budget Group,Budget,Target Location,Latitude,Longitude,Radius Distance,Excluded Location,Languages,Date Range,Audience,Negative Keyword List Keywords,Cpn Sitelink text,Cpn Sitelink description 1,Cpn Sitelink description 2,Cpn Sitelink Final URL,Cpn Callout Text,Cpn Price Header,Cpn Price price,Cpn Price description,Cpn Price URL,Cpn Call Phone,Adgroup,Max CPC,Adgroup Label,Keyword,Keyword Label,Keyword Final URL,Negative Keyword,RSA Final URL,RSA headline 1,RSA headline 2,RSA headline 3,RSA description 1,RSA description 2,RSA Label,CA Phone Number,CA Final URL,CA headline 1 ,CA headline 2,CA Business Name,CA description 1,CA description 2,CA Label,Ag Sitelink text,Ag Sitelink Final URL,Ag Callout text,Ag Price Header,Ag Price Price,Ag Price description,Ag Price URL,Ag Call Phone,Extra Column,,Shared List Keyword,Shared List Negative Keyword,Shared List Final Url,Shared List Phone,Shared List Callout Text
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,DND_DO_NOT_MODIFY Cryptic cpn label update 2,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,0.01,DND_DO_NOT_MODIFY Cryptic adgroup label update 2,[Cryptic keyword 1],DND_DO_NOT_MODIFY Cryptic keyword label ignore 2,https://www.optmyzr,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,DND_DO_NOT_MODIFY Cryptic RSA label update 2,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,DND_DO_NOT_MODIFY Cryptic CA label update 2,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 2],,https://www.optmyzr,[Cryptic ngetive keyword 2],https://www.optmyzr.com,Cryptic Rsa headline 2,Cryptic Rsa headline 102,Cryptic Rsa headline 202,Cryptic Rsa description 2,Cryptic Rsa desciption 102,,9000000002,https://www.optmyzr.com,Cryptic CA headline 2,Cryptic CA headline 102,Optmyzr,Cryptic CA description 2,Cryptic CA description 102,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 3,Cryptic Rsa headline 103,Cryptic Rsa headline 203,Cryptic Rsa description 3,Cryptic Rsa desciption 103,DND_DO_NOT_MODIFY Cryptic RSA label ignore 2,9000000003,https://www.optmyzr.com,Cryptic CA headline 3,Cryptic CA headline 103,Optmyzr,Cryptic CA description 3,Cryptic CA description 103,DND_DO_NOT_MODIFY Cryptic CA label ignore 2,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 2,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 4 u,Cryptic Rsa headline 104 u,Cryptic Rsa headline 204 u,Cryptic Rsa description 4 u,Cryptic Rsa desciption 104 u,,9000000004,https://www.optmyzr.com,Cryptic CA headline 4 u,Cryptic CA headline 104 u,Optmyzr,Cryptic CA description 4 u,Cryptic CA description 104 u,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 2,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 5,Cryptic Rsa headline 105,Cryptic Rsa headline 205,Cryptic Rsa description 5,Cryptic Rsa desciption 105,,9000000005,https://www.optmyzr.com,Cryptic CA headline 5,Cryptic CA headline 105,Optmyzr,Cryptic CA description 5,Cryptic CA description 105,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 2,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 6,Cryptic Rsa headline 106,Cryptic Rsa headline 206,Cryptic Rsa description 6,Cryptic Rsa desciption 106,,9000000005,https://www.optmyzr.com,Cryptic CA headline 6,Cryptic CA headline 106,Optmyzr,Cryptic CA description 6,Cryptic CA description 106,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 3,0.01,DND_DO_NOT_MODIFY Cryptic adgroup label ignore 2,[Cryptic keyword 1],,,,https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 4,0.01,,[Cryptic keyword 1],,,,https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 5,0.01,,[Cryptic keyword 1],,,,https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY Campaign inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY Campaign inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY Campaign inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,2356,28.56259796,77.12201078,50,2840,1102,1/1/2010-1/1/2050,6505315,Nkw_list_1,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,21137,40.78126618,-73.96614552,50,9061642,1013,2/2/2010-2/2/2050,21332611,Nkw_list_2,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,20462,27.1790389,78.04282884,10,21176,1000,3/3/2010-3/3/2050,22678664,Nkw_list_3,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1007740,23.22843754,77.41597463,30,1014080,1003,4/4/2010-4/4/2050,6505315,Nkw_list_4,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1007785,12.97187908,77.59308255,50,1026339,1013,5/5/2010-5/5/2050,21332611,Nkw_list_5,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,20456,29.39401411,76.95942778,5,1014895,1025,6/6/2010-6/6/2050,22678664,Nkw_list_6,,,,,,,,,,,Adgroup 1,0.01,,[Cryptic keyword 1],,,[Cryptic ngetive keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY campaign inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY campaigns inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY inventory,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,Adgroup 1,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 1,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 2,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,Cryptic sitelink text 1,Cryptic sitelink desc 1,Cryptic sitelink desc 101,https://www.optmyzr.com,Cryptic callout text 1,Cryptic price header 1,199,Cryptic price desc 1,https://www.optmyzr.com,9000000001,Adgroup 1,0.01,,[cryptic keyword 101],,,[cryptic negative keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,Cryptic Ag sitelink 1,https://www.optmyzr.com,Cryptic Ag callout 1,Cryptic Ag price h 1,19,Cryptic Ag price d 1,https://www.optmyzr.com,9000000001,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 2,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,Cryptic sitelink text 2,Cryptic sitelink desc 2,Cryptic sitelink desc 102,https://www.optmyzr.com,Cryptic callout text 2,Cryptic price header 1,199,Cryptic price desc 1,https://www.optmyzr.com,9000000002,Adgroup 1,0.01,,[cryptic keyword 101],,,[cryptic negative keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,Cryptic Ag sitelink 2,https://www.optmyzr.com,Cryptic Ag callout 2,Cryptic Ag price h 1,19,Cryptic Ag price d 1,https://www.optmyzr.com,9000000002,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
DND_DO_NOT_MODIFY BVT: Integrated Testing Search Campaign 2,,DND_DO_NOT_MODIFY Cryptic Budget Group 1,0.01,1011969,51.53405494,-0.1270843938,100,1027790,1000,1/1/2010-1/1/2050,20,,Cryptic sitelink text 3,Cryptic sitelink desc 3,Cryptic sitelink desc 103,https://www.optmyzr.com,Cryptic callout text 3,Cryptic price header 2,299,Cryptic price desc 2,https://www.optmyzr.com,9000000003,Adgroup 1,0.01,,[cryptic keyword 101],,,[cryptic negative keyword 1],https://www.optmyzr.com,Cryptic Rsa headline 1,Cryptic Rsa headline 101,Cryptic Rsa headline 201,Cryptic Rsa description 1,Cryptic Rsa desciption 101,,9000000001,https://www.optmyzr.com,Cryptic CA headline 1,Cryptic CA headline 101,Optmyzr,Cryptic CA description 1,Cryptic CA description 101,,Cryptic Ag sitelink 3,https://www.optmyzr.com,Cryptic Ag callout 3,Cryptic Ag price h 2,29,Cryptic Ag price d 2,https://www.optmyzr.com,9000000003,Important Value,,Cryptic Shared List Keyword 2,Cryptic Shared List Negative Keyword 2,https://www.optmyzr.com,,Cryptic Shared Callout Text 2
